         166700937 function calls (166700816 primitive calls) in 89.581 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
     23/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     16/3    0.000    0.000    0.009    0.003 <frozen importlib._bootstrap>:650(_load_unlocked)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       16    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     16/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     16/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap>:986(_find_and_load)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
       55    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       11    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1367(_get_spec)
       11    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1399(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
       35    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
      9/3    0.000    0.000    0.009    0.003 <frozen importlib._bootstrap_external>:842(exec_module)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:313(namedtuple)
